n_samples,n_features,wall_s,cpu_s,ram_change_gib,peak_gpu_gib,gpu_info,iter
100,100,59.34110236167908,59.19999999999982,0.0,0.03373384475708,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
100,250,59.823527097702026,59.67000000000007,0.0,0.0448441505432128,"GPU 0: util=23.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
100,500,61.216676473617554,61.21000000000004,0.0,0.0620317459106445,"GPU 0: util=27.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
100,750,62.37020087242127,62.35999999999967,0.0,0.0810694694519043,"GPU 0: util=27.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
100,1000,62.810426235198975,62.82000000000016,0.0,0.0970005989074707,"GPU 0: util=28.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,50,68.01029133796692,67.84000000000015,0.0,0.0364398956298828,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,100,68.48473882675171,68.31999999999971,0.0,0.0364303588867187,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,250,69.3029625415802,69.2800000000002,0.0,0.0480232238769531,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,500,70.5516722202301,70.57999999999947,0.0,0.0693707466125488,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,750,71.91620469093323,71.93000000000029,0.0,0.0916018486022949,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
250,1000,74.58928871154785,74.68000000000029,0.0050086975097656,0.1104373931884765,"GPU 0: util=26.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",2
